id,name,bits,layout,bias,decimal_digits,dyn_range_dec,phi_distance,cluster,gf_relation,status,standard,use_case,sw_kind,sw_vectors,decode_hw,compute_hw,source
gfternary,GFTernary,2,1/0/2,0,0.9,,0.0,GoldenFloat,self,Verified,"this work; {-phi, 0, +phi}",bulk layers (hybrid),bitexact,4,0,0,BENCH-007
gf4,GF4,4,1/1/2,0,0.9,-0.1,0.118,GoldenFloat,self,Experimental,this work; F0 minimal,proof-of-concept,bitexact,16,0,0,specs/numeric/gf4.t27
mxgf4,MXGF4 (microscaling GF4),4,1/1/2,0,0.9,-0.1,0.118,GoldenFloat,experimental,Experimental,this work; OCP MX block + GF4,OPEN R&D: phi-aligned MX-4 candidate,bitexact,16,0,0,section12.5
gf6,GF6 (predicted),6,1/2/3,1,1.2,0.6,0.05,GoldenFloat,experimental,Experimental,"this work; e=round(5/phi^2)=2, fills FP6 gap",OPEN R&D: bridge GF4-GF8; FP6 E2M3 hint,bitexact,64,0,1 [измерено: 512/512 bit-exact; E:#199 artifact 7931202948],section12.5
mxgf6,MXGF6 (microscaling GF6),6,1/2/3,1,1.2,0.6,0.05,GoldenFloat,experimental,Experimental,this work; OCP MX block + GF6,OPEN R&D: phi-aligned MX-6 candidate,bitexact,64,0,0,section12.5
gf8,GF8,8,1/3/4,3,1.5,1.8,0.132,GoldenFloat,self,Verified,this work; L1 Lucas,edge / sensors,bitexact,256,0,1 [измерено: 512/512 bit-exact; E:#199 post-fix c0d24cac2],BENCH-007 (specs/numeric/gf8.t27)
gf8_bfp,GF8-BFP (block FP atop GF8),8,1/3/4,3,1.5,1.8,0.132,GoldenFloat,experimental,Experimental,this work; per-tile shared exponent,OPEN R&D: LLM-quantization-friendly GF8,bitexact,256,0,0,section12.5
gf10,GoldenFloat GF10 (10-bit),10,1/3/6,3,2.1,1.8,,GoldenFloat,self,Experimental,Trinity GoldenFloat,расширенный диапазон GF-семейства,bitexact,8,0,0,specs/numeric/gf10.t27
gf12,GF12,12,1/4/7,7,2.4,4.2,0.047,GoldenFloat,self,Verified,this work; L0/F3,mid-range / audio,bitexact,8,0,0,BENCH-007 (specs/numeric/gf12.t27)
gf14,GoldenFloat GF14 (14-bit),14,1/5/8,15,2.7,9.0,,GoldenFloat,self,Experimental,Trinity GoldenFloat,расширенный диапазон GF-семейства,bitexact_selfconsistent,,0,0,specs/numeric/gf14.t27
gf16,GF16,16,1/6/9,31,3.0,18.7,0.049,GoldenFloat,self,Verified,this work; PHI_BIAS=60; FPGA 35/35 on Artix-7 (no frequency claimed; 323 MHz withdrawn),training and inference (production),bitexact,,0,0,specs/numeric/gf16.t27; zenodo 10.5281/zenodo.19227877 (HW archive)
gf_lns_hybrid,GF + LNS hybrid (dual-space),16,1/6/9,31,3.0,18.7,0.049,GoldenFloat,experimental,Experimental,"this work; mul in log-space, accumulate Lucas-closed",OPEN R&D: dual-space arithmetic,bitexact,8,0,0,section12.5
gf20,GF20,20,1/7/12,63,3.9,37.9,0.035,GoldenFloat,self,Experimental,this work; 17-squared empirical PHI_BIAS=289,high-precision edge,bitexact,8,0,0,specs/numeric/gf20.t27 (spec only)
gf24,GF24,24,1/9/14,255,4.5,153.5,0.025,GoldenFloat,self,Experimental,this work; L15 PHI_BIAS=1364,server inference,bitexact,8,0,0,specs/numeric/gf24.t27 (spec only)
gf32,GF32,32,1/12/19,2047,6.0,1232.1,0.014,GoldenFloat,self,Verified,this work; F0 resolved,fp32 drop-in,bitexact,8,0,0,BENCH-012 (specs/numeric/gf32.t27)
gf48,GoldenFloat GF48 (48-bit),48,1/18/29,131071,9.0,78912.3,,GoldenFloat,self,Experimental,Trinity GoldenFloat,расширенный диапазон GF-семейства,bitexact_selfconsistent,,0,0,specs/numeric/gf48.t27
gf64,GF64,64,1/24/39,8388607,12.0,5050444.4,0.003,GoldenFloat,self,Verified,this work; EXP_MAX - BIAS,scientific / double,bitexact,8,0,0,BENCH-007b (specs/numeric/gf64.t27)
gf96,GoldenFloat GF96 (96-bit),96,1/36/59,34359738367,18.1,20686623783.0,,GoldenFloat,self,Experimental,Trinity GoldenFloat,расширенный диапазон GF-семейства,bitexact_selfconsistent,,0,0,specs/numeric/gf96.t27
gf128,GF128 (predicted),128,1/48/79,0,24.1,84732411018727.1,0.008,GoldenFloat,experimental,Experimental,this work; e=round(127/phi^2)=48 (Open: bias TBD),OPEN R&D: phi-aligned binary128 alternative,bitexact_selfconsistent,,0,0,section12.5
gf256,GF256 (predicted),256,1/97/158,0,47.9,4.770010683626838e+28,0.005,GoldenFloat,experimental,Experimental,this work; e=round(255/phi^2)=97 (Open: bias ~2^71 unconfirmed),OPEN R&D: phi-aligned binary256 alternative,structural,0,0,0,section12.5; bias Open per skill
gf512,GoldenFloat GF512 (512-bit),512,1/195/316,25108406941546723055343157692830665664409421777856138051583,95.4,1.511676726548657e+58,,GoldenFloat,self,Experimental,Trinity GoldenFloat,расширенный диапазон GF-семейства,bitexact_selfconsistent,,0,0,specs/numeric/gf512.t27
gf1024,GoldenFloat GF1024 (1024-bit),1024,1/391/632,2521728396569246669585858566409191283525103313309788586748690777871726193375821479130513040312634601011624191379636223,190.6,1.5182317765699572e+117,,GoldenFloat,self,Experimental,Trinity GoldenFloat,расширенный диапазон GF-семейства,bitexact_selfconsistent,,0,0,specs/numeric/gf1024.t27
binary16,"binary16 (fp16, half)",16,1/5/10,15,3.3,9.0,0.118,Ieee754Binary,competitor,Verified,IEEE 754-2008,"GPU activations, inference",bitexact,8,0,0,IEEE 754-2008
binary32,"binary32 (fp32, single)",32,1/8/23,127,7.2,76.5,0.27,Ieee754Binary,competitor,Verified,IEEE 754-1985,industry default,bitexact,8,0,0,IEEE 754-1985
binary64,"binary64 (fp64, double)",64,1/11/52,1023,16.0,615.9,0.406,Ieee754Binary,competitor,Verified,IEEE 754-1985,scientific computing,bitexact,8,0,0,IEEE 754-1985
binary128,"binary128 (fp128, quad)",128,1/15/112,16383,34.0,9863.2,0.484,Ieee754Binary,competitor,Verified,IEEE 754-2008,high-precision simulations,bitexact,8,0,0,IEEE 754-2008
binary256,binary256 (octuple),256,1/19/236,262143,71.3,157825.5,0.538,Ieee754Binary,competitor,Verified,IEEE 754-2008,"astronomy, cryptography",bitexact,8,0,0,IEEE 754-2008
fp4_e2m1,FP4 E2M1,4,1/2/1,1,0.6,0.5,1.382,MlLowPrecision,competitor,Verified,OCP MX,extreme quant inference,bitexact,16,0,0,OCP MX v1.0 (2023)
