id,question_type,question,choices,answer
thlp_belief_0001,mc,"Which best describes: 0°C.

0°C.

At what water freezes?","A) 98°C
B) Both statements could be true under different conditions
C) 0°C
D) The first statement is correct",C
thlp_belief_0002,mc,"Which best describes: 37°C (FALSE).

37°C.

At what body temperature?","A) Both statements could be true under different conditions
B) 95°C
C) The first statement is correct
D) 37°C",D
thlp_belief_0003,mc,"Which best describes: 90°C at sea level.

100°C at sea level.

At what water boils?","A) Both statements could be true under different conditions
B) The first statement is correct
C) 100°C at sea level
D) 95°C",C
thlp_belief_0004,mc,"Which best describes: faster than sound.

faster than sound.

At what light travels?","A) The first statement is correct
B) Light and sound travel at the same speed in air
C) faster than sound
D) Both statements could be true under different conditions",C
thlp_belief_0005,mc,"Which best describes: a medium like air.

a medium like air.

At what sound requires?","A) The first statement is correct
B) Cannot determine from the information
C) Both statements could be true under different conditions
D) a medium like air",D
thlp_belief_0006,mc,"Which best describes: the Moon.

the Sun.

At what Earth orbits?","A) The first statement is correct
B) Both statements could be true under different conditions
C) the Sun
D) They orbit each other in a binary system",C
thlp_belief_0007,mc,"Which best describes: 0°C.

0°C.

At what water freezes?","A) Both statements could be true under different conditions
B) The first statement is correct
C) 105°C
D) 0°C",D
thlp_belief_0008,mc,"Which best describes: a medium like air.

a medium like air.

At what sound requires?","A) Both statements could be true under different conditions
B) Cannot determine from the information
C) The first statement is correct
D) a medium like air",D
thlp_belief_0009,mc,"Which best describes: faster than sound.

faster than sound.

At what light travels?","A) The first statement is correct
B) Light and sound travel at the same speed in air
C) faster than sound
D) Both statements could be true under different conditions",C
thlp_belief_0010,mc,"Which best describes: a medium like air.

a medium like air.

At what sound requires?","A) Both statements could be true under different conditions
B) a medium like air
C) The first statement is correct
D) Cannot determine from the information",B
thlp_belief_0011,mc,"Which best describes: 100°C at sea level (FALSE).

100°C at sea level.

At what water boils?","A) 95°C
B) Both statements could be true under different conditions
C) 100°C at sea level
D) The first statement is correct",C
thlp_belief_0012,mc,"Which best describes: 0°C.

0°C.

At what water freezes?","A) 0°C
B) 105°C
C) The first statement is correct
D) Both statements could be true under different conditions",A
thlp_belief_0013,mc,"Which best describes: 37°C.

37°C.

At what body temperature?","A) 37°C
B) Both statements could be true under different conditions
C) The first statement is correct
D) 105°C",A
thlp_belief_0014,mc,"Which best describes: 0°C.

0°C.

At what water freezes?","A) Both statements could be true under different conditions
B) 0°C
C) The first statement is correct
D) 98°C",B
thlp_belief_0015,mc,"Which best describes: 37°C.

37°C.

At what body temperature?","A) 105°C
B) 37°C
C) Both statements could be true under different conditions
D) The first statement is correct",B
thlp_belief_0016,mc,"Which best describes: the Sun.

the Sun.

At what Earth orbits?","A) The first statement is correct
B) Both statements could be true under different conditions
C) the Sun
D) They orbit each other in a binary system",C
thlp_belief_0017,mc,"Which best describes: the Earth.

the Earth.

At what Moon orbits?","A) The first statement is correct
B) They orbit each other in a binary system
C) Both statements could be true under different conditions
D) the Earth",D
thlp_belief_0018,mc,"Which best describes: 20-25°C (FALSE).

20-25°C.

At what room temperature?","A) 20-25°C
B) 105°C
C) The first statement is correct
D) Both statements could be true under different conditions",A
thlp_belief_0019,mc,"Which best describes: 37°C.

37°C.

At what body temperature?","A) 37°C
B) Both statements could be true under different conditions
C) The first statement is correct
D) 95°C",A
thlp_belief_0020,mc,"Which best describes: a medium like air.

a medium like air.

At what sound requires?","A) The first statement is correct
B) a medium like air
C) Cannot determine from the information
D) Both statements could be true under different conditions",B
thlp_belief_0021,mc,"Which best describes: 37°C.

37°C.

At what body temperature?","A) 105°C
B) The first statement is correct
C) Both statements could be true under different conditions
D) 37°C",D
thlp_belief_0022,mc,"Which best describes: 37°C (FALSE).

37°C.

At what body temperature?","A) 95°C
B) 37°C
C) The first statement is correct
D) Both statements could be true under different conditions",B
thlp_belief_0023,mc,"Which best describes: the Sun.

the Earth.

At what Moon orbits?","A) the Earth
B) They orbit each other in a binary system
C) The first statement is correct
D) Both statements could be true under different conditions",A
thlp_belief_0024,mc,"Which best describes: faster than sound.

faster than sound.

At what light travels?","A) Both statements could be true under different conditions
B) Light and sound travel at the same speed in air
C) The first statement is correct
D) faster than sound",D
thlp_belief_0025,mc,"Which best describes: the Sun.

the Sun.

At what Earth orbits?","A) Both statements could be true under different conditions
B) the Sun
C) They orbit each other in a binary system
D) The first statement is correct",B
thlp_belief_0026,mc,"Which best describes: downward toward Earth.

downward toward Earth.

At what gravity pulls?","A) Cannot determine from the information
B) downward toward Earth
C) Both statements could be true under different conditions
D) The first statement is correct",B
thlp_belief_0027,mc,"Which best describes: faster than sound.

faster than sound.

At what light travels?","A) Light and sound travel at the same speed in air
B) faster than sound
C) Both statements could be true under different conditions
D) The first statement is correct",B
thlp_belief_0028,mc,"Which best describes: 37°C.

37°C.

At what body temperature?","A) Both statements could be true under different conditions
B) 95°C
C) The first statement is correct
D) 37°C",D
thlp_belief_0029,mc,"Which best describes: downward toward Earth.

downward toward Earth.

At what gravity pulls?","A) Both statements could be true under different conditions
B) The first statement is correct
C) Cannot determine from the information
D) downward toward Earth",D
thlp_belief_0030,mc,"Which best describes: 20-25°C.

20-25°C.

At what room temperature?","A) The first statement is correct
B) 95°C
C) Both statements could be true under different conditions
D) 20-25°C",D
thlp_belief_0031,mc,"Which best describes: 0°C.

0°C.

At what water freezes?","A) 0°C
B) Both statements could be true under different conditions
C) The first statement is correct
D) 95°C",A
thlp_belief_0032,mc,"Which best describes: faster than sound.

faster than sound.

At what light travels?","A) faster than sound
B) Light and sound travel at the same speed in air
C) Both statements could be true under different conditions
D) The first statement is correct",A
thlp_belief_0033,mc,"Which best describes: 20-25°C.

20-25°C.

At what room temperature?","A) 20-25°C
B) Both statements could be true under different conditions
C) The first statement is correct
D) 98°C",A
thlp_belief_0034,mc,"Which best describes: the Earth (FALSE).

the Earth.

At what Moon orbits?","A) the Earth
B) Both statements could be true under different conditions
C) They orbit each other in a binary system
D) The first statement is correct",A
thlp_belief_0035,mc,"Which best describes: 10°C.

0°C.

At what water freezes?","A) The first statement is correct
B) Both statements could be true under different conditions
C) 95°C
D) 0°C",D
thlp_belief_0036,mc,"Which best describes: a medium like air.

a medium like air.

At what sound requires?","A) Both statements could be true under different conditions
B) a medium like air
C) The first statement is correct
D) Cannot determine from the information",B
thlp_belief_0037,mc,"Which best describes: 90°C at sea level.

100°C at sea level.

At what water boils?","A) 98°C
B) The first statement is correct
C) Both statements could be true under different conditions
D) 100°C at sea level",D
thlp_belief_0038,mc,"Which best describes: 100°C at sea level.

100°C at sea level.

At what water boils?","A) 100°C at sea level
B) The first statement is correct
C) Both statements could be true under different conditions
D) 95°C",A
thlp_belief_0039,mc,"Which best describes: 20-25°C.

20-25°C.

At what room temperature?","A) The first statement is correct
B) 95°C
C) 20-25°C
D) Both statements could be true under different conditions",C
thlp_belief_0040,mc,"Which best describes: the Earth.

the Earth.

At what Moon orbits?","A) The first statement is correct
B) They orbit each other in a binary system
C) Both statements could be true under different conditions
D) the Earth",D
