id,question_type,question,choices,answer
ttm_adv_base_rate_001,mc,"In a city, 85% of taxis are Green and 15% are Blue.

A witness identified the taxi as Blue. Witnesses correctly identify color 80% of the time.

What is the probability the taxi was actually Blue?","A) 50% — conflicting evidence makes it a toss-up
B) 80% — the witness is 80% accurate
C) 15% — that's the base rate for Blue taxis
D) About 41% — base rate dominates despite witness testimony",D
ttm_adv_base_rate_002,mc,"A disease affects 1 in 10,000 people.

A test is 99% accurate (both sensitivity and specificity). You test positive.

What is the probability you actually have the disease?","A) 50% — the result is essentially random
B) 99% — the test is 99% accurate
C) 10,000 to 1 — the odds against having the disease
D) About 1% — false positives from healthy population vastly outnumber true positives",D
ttm_adv_base_rate_003,mc,"In a city, 85% of taxis are Green and 15% are Blue.

A witness identified the taxi as Blue. Witnesses correctly identify color 80% of the time.

What is the probability the taxi was actually Blue?","A) 15% — that's the base rate for Blue taxis
B) 50% — conflicting evidence makes it a toss-up
C) About 41% — base rate dominates despite witness testimony
D) 80% — the witness is 80% accurate",C
ttm_adv_base_rate_004,mc,"A disease affects 1 in 10,000 people.

A test is 99% accurate (both sensitivity and specificity). You test positive.

What is the probability you actually have the disease?","A) 50% — the result is essentially random
B) About 1% — false positives from healthy population vastly outnumber true positives
C) 99% — the test is 99% accurate
D) 10,000 to 1 — the odds against having the disease",B
ttm_adv_base_rate_005,mc,"In a city, 85% of taxis are Green and 15% are Blue.

A witness identified the taxi as Blue. Witnesses correctly identify color 80% of the time.

What is the probability the taxi was actually Blue?","A) About 41% — base rate dominates despite witness testimony
B) 50% — conflicting evidence makes it a toss-up
C) 80% — the witness is 80% accurate
D) 15% — that's the base rate for Blue taxis",A
ttm_adv_base_rate_006,mc,"A disease affects 1 in 10,000 people.

A test is 99% accurate (both sensitivity and specificity). You test positive.

What is the probability you actually have the disease?","A) About 1% — false positives from healthy population vastly outnumber true positives
B) 50% — the result is essentially random
C) 10,000 to 1 — the odds against having the disease
D) 99% — the test is 99% accurate",A
ttm_adv_base_rate_007,mc,"In a city, 85% of taxis are Green and 15% are Blue.

A witness identified the taxi as Blue. Witnesses correctly identify color 80% of the time.

What is the probability the taxi was actually Blue?","A) 15% — that's the base rate for Blue taxis
B) 80% — the witness is 80% accurate
C) About 41% — base rate dominates despite witness testimony
D) 50% — conflicting evidence makes it a toss-up",C
ttm_adv_base_rate_008,mc,"A disease affects 1 in 10,000 people.

A test is 99% accurate (both sensitivity and specificity). You test positive.

What is the probability you actually have the disease?","A) 10,000 to 1 — the odds against having the disease
B) 99% — the test is 99% accurate
C) 50% — the result is essentially random
D) About 1% — false positives from healthy population vastly outnumber true positives",D
ttm_adv_base_rate_009,mc,"In a city, 85% of taxis are Green and 15% are Blue.

A witness identified the taxi as Blue. Witnesses correctly identify color 80% of the time.

What is the probability the taxi was actually Blue?","A) 50% — conflicting evidence makes it a toss-up
B) About 41% — base rate dominates despite witness testimony
C) 15% — that's the base rate for Blue taxis
D) 80% — the witness is 80% accurate",B
ttm_adv_base_rate_010,mc,"A disease affects 1 in 10,000 people.

A test is 99% accurate (both sensitivity and specificity). You test positive.

What is the probability you actually have the disease?","A) 50% — the result is essentially random
B) 10,000 to 1 — the odds against having the disease
C) 99% — the test is 99% accurate
D) About 1% — false positives from healthy population vastly outnumber true positives",D
ttm_adv_base_rate_011,mc,"In a city, 85% of taxis are Green and 15% are Blue.

A witness identified the taxi as Blue. Witnesses correctly identify color 80% of the time.

What is the probability the taxi was actually Blue?","A) 80% — the witness is 80% accurate
B) About 41% — base rate dominates despite witness testimony
C) 15% — that's the base rate for Blue taxis
D) 50% — conflicting evidence makes it a toss-up",B
