id,question_type,question,choices,answer
tscp_v5_0000,mc,What indicates backhanded compliment? Explicit praise masking criticism,A) Genuine/Direct/Professional Distractor 0B) Genuine/Direct/Professional Distractor 2C) Genuine/Direct/Professional Distractor 1D) What indicates backhanded compliment? Explicit praise masking criticism,D
tscp_v5_0001,mc,Standard in field comment subtext? Dismissal for innovation,A) Compliment/Objective/Helpful Distractor 0B) Compliment/Objective/Helpful Distractor 2C) Standard in field comment subtext? Dismissal for innovationD) Compliment/Objective/Helpful Distractor 1,C
tscp_v5_0002,mc,Better review constructive? Review A,A) Review B/Both/Neither Distractor 2B) Review B/Both/Neither Distractor 0C) Better review constructive? Review AD) Review B/Both/Neither Distractor 1,C
tscp_v5_0003,mc,Soft criticism? Interest noted more,A) Vague/Harsh/Unfocused Distractor 0B) Soft criticism? Interest noted moreC) Vague/Harsh/Unfocused Distractor 1D) Vague/Harsh/Unfocused Distractor 2,B
tscp_v5_0004,mc,Theory of Mind vs false belief? Belief about others incorrect,A) Theory of Mind vs false belief? Belief about others incorrectB) Deliberate/Unconscious/Proven Distractor 1C) Deliberate/Unconscious/Proven Distractor 2D) Deliberate/Unconscious/Proven Distractor 0,A
tscp_v5_0005,mc,What is social referencing? Adjust based on consensus,A) Genuine/Conformity/Strategic Distractor 0B) Genuine/Conformity/Strategic Distractor 1C) Genuine/Conformity/Strategic Distractor 2D) What is social referencing? Adjust based on consensus,D
tscp_v5_0006,mc,What is pragmatic inference? Understanding intended meaning,A) Nuanced/Literal/Contextual Distractor 1B) Nuanced/Literal/Contextual Distractor 2C) What is pragmatic inference? Understanding intended meaningD) Nuanced/Literal/Contextual Distractor 0,C
tscp_v5_0007,mc,What indicates backhanded compliment? Explicit praise masking criticism,A) Genuine/Direct/Professional Distractor 2B) Genuine/Direct/Professional Distractor 1C) Genuine/Direct/Professional Distractor 0D) What indicates backhanded compliment? Explicit praise masking criticism,D
tscp_v5_0008,mc,Standard in field comment subtext? Dismissal for innovation,A) Standard in field comment subtext? Dismissal for innovationB) Compliment/Objective/Helpful Distractor 2C) Compliment/Objective/Helpful Distractor 1D) Compliment/Objective/Helpful Distractor 0,A
tscp_v5_0009,mc,Better review constructive? Review A,A) Review B/Both/Neither Distractor 0B) Review B/Both/Neither Distractor 1C) Review B/Both/Neither Distractor 2D) Better review constructive? Review A,D
