id,question_type,question,choices,answer
tscp_adv_nested_tom_001,mc,"Alice wants Bob to think that Charlie wants David to believe the meeting is at 3 PM. David actually knows it's at 4 PM. Charlie doesn't know David knows. Bob thinks Charlie knows the time. Alice knows all of this.

What does Alice want Bob to think about Charlie's knowledge of the meeting time?","A) That Charlie is uncertain about the time
B) That Charlie will check with David directly
C) That Charlie knows the actual time is 4 PM
D) That Charlie thinks David believes it's at 3 PM — Alice wants Bob to believe this specific false belief chain",D
tscp_adv_nested_tom_002,mc,"John believes Mary intends Peter to think Susan believes Tom likes Mary. In reality, Tom doesn't like Mary. Susan knows this. Peter doesn't know Susan knows. Mary thinks Peter knows. John believes all of this is true.

What does John believe Peter thinks about Susan's knowledge of Tom's feelings?","A) That Peter has no belief about Susan's knowledge
B) That Peter thinks Susan is uncertain
C) That Peter thinks Susan knows Tom doesn't like Mary — John believes Peter knows Susan knows the truth
D) That Peter thinks Susan believes Tom likes Mary",C
tscp_adv_nested_tom_003,mc,"Alice wants Bob to think that Charlie wants David to believe the meeting is at 3 PM. David actually knows it's at 4 PM. Charlie doesn't know David knows. Bob thinks Charlie knows the time. Alice knows all of this.

What does Alice want Bob to think about Charlie's knowledge of the meeting time?","A) That Charlie knows the actual time is 4 PM
B) That Charlie will check with David directly
C) That Charlie is uncertain about the time
D) That Charlie thinks David believes it's at 3 PM — Alice wants Bob to believe this specific false belief chain",D
tscp_adv_nested_tom_004,mc,"John believes Mary intends Peter to think Susan believes Tom likes Mary. In reality, Tom doesn't like Mary. Susan knows this. Peter doesn't know Susan knows. Mary thinks Peter knows. John believes all of this is true.

What does John believe Peter thinks about Susan's knowledge of Tom's feelings?","A) That Peter thinks Susan believes Tom likes Mary
B) That Peter has no belief about Susan's knowledge
C) That Peter thinks Susan knows Tom doesn't like Mary — John believes Peter knows Susan knows the truth
D) That Peter thinks Susan is uncertain",C
tscp_adv_nested_tom_005,mc,"Alice wants Bob to think that Charlie wants David to believe the meeting is at 3 PM. David actually knows it's at 4 PM. Charlie doesn't know David knows. Bob thinks Charlie knows the time. Alice knows all of this.

What does Alice want Bob to think about Charlie's knowledge of the meeting time?","A) That Charlie knows the actual time is 4 PM
B) That Charlie is uncertain about the time
C) That Charlie will check with David directly
D) That Charlie thinks David believes it's at 3 PM — Alice wants Bob to believe this specific false belief chain",D
tscp_adv_nested_tom_006,mc,"John believes Mary intends Peter to think Susan believes Tom likes Mary. In reality, Tom doesn't like Mary. Susan knows this. Peter doesn't know Susan knows. Mary thinks Peter knows. John believes all of this is true.

What does John believe Peter thinks about Susan's knowledge of Tom's feelings?","A) That Peter has no belief about Susan's knowledge
B) That Peter thinks Susan is uncertain
C) That Peter thinks Susan believes Tom likes Mary
D) That Peter thinks Susan knows Tom doesn't like Mary — John believes Peter knows Susan knows the truth",D
tscp_adv_nested_tom_007,mc,"Alice wants Bob to think that Charlie wants David to believe the meeting is at 3 PM. David actually knows it's at 4 PM. Charlie doesn't know David knows. Bob thinks Charlie knows the time. Alice knows all of this.

What does Alice want Bob to think about Charlie's knowledge of the meeting time?","A) That Charlie thinks David believes it's at 3 PM — Alice wants Bob to believe this specific false belief chain
B) That Charlie will check with David directly
C) That Charlie is uncertain about the time
D) That Charlie knows the actual time is 4 PM",A
tscp_adv_nested_tom_008,mc,"John believes Mary intends Peter to think Susan believes Tom likes Mary. In reality, Tom doesn't like Mary. Susan knows this. Peter doesn't know Susan knows. Mary thinks Peter knows. John believes all of this is true.

What does John believe Peter thinks about Susan's knowledge of Tom's feelings?","A) That Peter has no belief about Susan's knowledge
B) That Peter thinks Susan believes Tom likes Mary
C) That Peter thinks Susan is uncertain
D) That Peter thinks Susan knows Tom doesn't like Mary — John believes Peter knows Susan knows the truth",D
tscp_adv_nested_tom_009,mc,"Alice wants Bob to think that Charlie wants David to believe the meeting is at 3 PM. David actually knows it's at 4 PM. Charlie doesn't know David knows. Bob thinks Charlie knows the time. Alice knows all of this.

What does Alice want Bob to think about Charlie's knowledge of the meeting time?","A) That Charlie will check with David directly
B) That Charlie thinks David believes it's at 3 PM — Alice wants Bob to believe this specific false belief chain
C) That Charlie knows the actual time is 4 PM
D) That Charlie is uncertain about the time",B
tscp_adv_nested_tom_010,mc,"John believes Mary intends Peter to think Susan believes Tom likes Mary. In reality, Tom doesn't like Mary. Susan knows this. Peter doesn't know Susan knows. Mary thinks Peter knows. John believes all of this is true.

What does John believe Peter thinks about Susan's knowledge of Tom's feelings?","A) That Peter thinks Susan knows Tom doesn't like Mary — John believes Peter knows Susan knows the truth
B) That Peter thinks Susan believes Tom likes Mary
C) That Peter thinks Susan is uncertain
D) That Peter has no belief about Susan's knowledge",A
tscp_adv_nested_tom_011,mc,"Alice wants Bob to think that Charlie wants David to believe the meeting is at 3 PM. David actually knows it's at 4 PM. Charlie doesn't know David knows. Bob thinks Charlie knows the time. Alice knows all of this.

What does Alice want Bob to think about Charlie's knowledge of the meeting time?","A) That Charlie knows the actual time is 4 PM
B) That Charlie will check with David directly
C) That Charlie is uncertain about the time
D) That Charlie thinks David believes it's at 3 PM — Alice wants Bob to believe this specific false belief chain",D
tscp_adv_nested_tom_012,mc,"John believes Mary intends Peter to think Susan believes Tom likes Mary. In reality, Tom doesn't like Mary. Susan knows this. Peter doesn't know Susan knows. Mary thinks Peter knows. John believes all of this is true.

What does John believe Peter thinks about Susan's knowledge of Tom's feelings?","A) That Peter thinks Susan knows Tom doesn't like Mary — John believes Peter knows Susan knows the truth
B) That Peter thinks Susan believes Tom likes Mary
C) That Peter has no belief about Susan's knowledge
D) That Peter thinks Susan is uncertain",A
