id,question_type,question,choices,answer
tscp_tom_0001,mc,"Sally puts a marble in a basket and leaves the room. While she is gone, Anne moves the marble to a box. When Sally returns, where will she look for the marble first?","A) She won't look because she forgot about the marble
B) She will ask Anne where it is first
C) The box — that's where the marble actually is
D) The basket — Sally has a false belief about the marble's location since she didn't see Anne move it",D
tscp_tom_0002,mc,"John hides his phone in the drawer and goes to the bathroom. His sister, knowing this, moves it to the closet. When John returns, where will he look for his phone?","A) He'll ask his sister where she moved it
B) He'll check both places systematically
C) In the drawer — he believes it's still where he put it
D) In the closet — that's where it actually is",C
tscp_tom_0003,mc,Emma tells her friend: 'I'm going to the park.' She actually goes to the library. Her friend sees her at the library. What does her friend think Emma's intention was?,"A) Emma forgot where she was going
B) The park and library are the same place to Emma
C) Emma changed her mind after speaking
D) Emma lied about going to the park — the friend now knows Emma's statement was false",D
tscp_tom_0004,mc,"Sally puts a marble in a basket and leaves the room. While she is gone, Anne moves the marble to a box. When Sally returns, where will she look for the marble first?","A) She will ask Anne where it is first
B) She won't look because she forgot about the marble
C) The basket — Sally has a false belief about the marble's location since she didn't see Anne move it
D) The box — that's where the marble actually is",C
tscp_tom_0005,mc,"John hides his phone in the drawer and goes to the bathroom. His sister, knowing this, moves it to the closet. When John returns, where will he look for his phone?","A) In the closet — that's where it actually is
B) He'll check both places systematically
C) He'll ask his sister where she moved it
D) In the drawer — he believes it's still where he put it",D
tscp_tom_0006,mc,Emma tells her friend: 'I'm going to the park.' She actually goes to the library. Her friend sees her at the library. What does her friend think Emma's intention was?,"A) Emma forgot where she was going
B) The park and library are the same place to Emma
C) Emma changed her mind after speaking
D) Emma lied about going to the park — the friend now knows Emma's statement was false",D
tscp_tom_0007,mc,"Sally puts a marble in a basket and leaves the room. While she is gone, Anne moves the marble to a box. When Sally returns, where will she look for the marble first?","A) She won't look because she forgot about the marble
B) She will ask Anne where it is first
C) The basket — Sally has a false belief about the marble's location since she didn't see Anne move it
D) The box — that's where the marble actually is",C
tscp_tom_0008,mc,"John hides his phone in the drawer and goes to the bathroom. His sister, knowing this, moves it to the closet. When John returns, where will he look for his phone?","A) In the closet — that's where it actually is
B) He'll ask his sister where she moved it
C) In the drawer — he believes it's still where he put it
D) He'll check both places systematically",C
tscp_tom_0009,mc,Emma tells her friend: 'I'm going to the park.' She actually goes to the library. Her friend sees her at the library. What does her friend think Emma's intention was?,"A) Emma lied about going to the park — the friend now knows Emma's statement was false
B) Emma changed her mind after speaking
C) Emma forgot where she was going
D) The park and library are the same place to Emma",A
tscp_tom_0010,mc,"Sally puts a marble in a basket and leaves the room. While she is gone, Anne moves the marble to a box. When Sally returns, where will she look for the marble first?","A) She won't look because she forgot about the marble
B) The box — that's where the marble actually is
C) The basket — Sally has a false belief about the marble's location since she didn't see Anne move it
D) She will ask Anne where it is first",C
tscp_tom_0011,mc,"John hides his phone in the drawer and goes to the bathroom. His sister, knowing this, moves it to the closet. When John returns, where will he look for his phone?","A) He'll check both places systematically
B) In the closet — that's where it actually is
C) He'll ask his sister where she moved it
D) In the drawer — he believes it's still where he put it",D
tscp_tom_0012,mc,Emma tells her friend: 'I'm going to the park.' She actually goes to the library. Her friend sees her at the library. What does her friend think Emma's intention was?,"A) The park and library are the same place to Emma
B) Emma changed her mind after speaking
C) Emma forgot where she was going
D) Emma lied about going to the park — the friend now knows Emma's statement was false",D
tscp_tom_0013,mc,"Sally puts a marble in a basket and leaves the room. While she is gone, Anne moves the marble to a box. When Sally returns, where will she look for the marble first?","A) The box — that's where the marble actually is
B) She will ask Anne where it is first
C) The basket — Sally has a false belief about the marble's location since she didn't see Anne move it
D) She won't look because she forgot about the marble",C
tscp_tom_0014,mc,"John hides his phone in the drawer and goes to the bathroom. His sister, knowing this, moves it to the closet. When John returns, where will he look for his phone?","A) He'll check both places systematically
B) He'll ask his sister where she moved it
C) In the closet — that's where it actually is
D) In the drawer — he believes it's still where he put it",D
tscp_tom_0015,mc,Emma tells her friend: 'I'm going to the park.' She actually goes to the library. Her friend sees her at the library. What does her friend think Emma's intention was?,"A) Emma lied about going to the park — the friend now knows Emma's statement was false
B) Emma forgot where she was going
C) The park and library are the same place to Emma
D) Emma changed her mind after speaking",A
tscp_tom_0016,mc,"Sally puts a marble in a basket and leaves the room. While she is gone, Anne moves the marble to a box. When Sally returns, where will she look for the marble first?","A) The box — that's where the marble actually is
B) The basket — Sally has a false belief about the marble's location since she didn't see Anne move it
C) She won't look because she forgot about the marble
D) She will ask Anne where it is first",B
