id,question_type,question,choices,answer
ttm_calibration_0666,mc,"Someone claims: ""A specific coin flip will land heads"" with 50% confidence.

Is their confidence level well-calibrated?","A) Underconfident — physical analysis can improve beyond 50%
B) Well-calibrated — a fair coin has exactly 50% probability, matching the stated confidence
C) Overconfident — true randomness means 0% confidence
D) Miscalibrated — depends on how the coin was flipped",B
ttm_error_detection_0033,mc,"A student presents the following reasoning:

""My grandfather smoked his whole life and lived to 95. Therefore, smoking is not harmful.""

What is the primary logical error in this reasoning?","A) His grandfather may have had a genetic mutation
B) The reasoning is correct if the grandfather had no smoking-related illnesses
C) Anecdotal evidence fallacy — a single case cannot disprove statistical health risks
D) Smoking only became harmful after modern additives",C
ttm_difficulty_0259,mc,"Consider two tasks:
Task A: Detect plagiarism in a high-school essay copied verbatim from Wikipedia
Task B: Detect AI-paraphrased plagiarism that rewrites ideas with new words and structure

Which is more cognitively difficult, and why?","A) Both are equally easy with plagiarism software
B) AI paraphrasing is easier because AI text has detectable patterns
C) Task B is harder — Verbatim plagiarism is easily caught by text matching; paraphrased plagiarism requires semantic understanding
D) Verbatim is harder because Wikipedia is not always in databases",C
ttm_bias_0196,mc,"Scenario: A company keeps investing in a failing project because they've already spent $50M on it.

Which cognitive bias is primarily demonstrated here?","A) Escalation of commitment due to emotional attachment
B) Status quo bias — preferring to continue
C) Endowment effect — overvaluing the project
D) Sunk cost fallacy — past irrecoverable costs should not influence future decisions",D
ttm_argument_strength_0382,mc,"Evaluate the strength of this argument:

Claim: Reading fiction improves empathy.
Argument: A longitudinal study of 1,200 participants found that regular fiction readers scored 15% higher on validated empathy measures after controlling for demographics.","A) Weak — correlation doesn't prove causation even in longitudinal studies
B) Strong — longitudinal design with controls and validated measures provides solid evidence, though other confounds may exist
C) Moderate — 1,200 is too small a sample
D) Very strong — this definitively proves the claim",B
ttm_strategy_0155,mc,"Problem: A conflict has arisen between two team members about the project direction.

What is the most effective approach?","A) Let them work it out on their own
B) Side with the more senior team member
C) Ignore the conflict and assign tasks top-down
D) Structured mediation — have each party state their position and interests, then find common ground",D
ttm_error_detection_0039,mc,"A student presents the following reasoning:

""Tigers are dangerous. This animal is dangerous. Therefore, this animal is a tiger.""

What is the primary logical error in this reasoning?","A) The logic would be valid if we added 'only tigers are dangerous'
B) The premises don't tell us enough about the animal to conclude
C) The reasoning is valid because tigers are the most dangerous animal
D) Undistributed middle — many dangerous animals exist besides tigers",D
ttm_info_sufficiency_0479,mc,"Is the given information sufficient to answer the question?

Question: Is this person guilty of the crime?
Given: Their fingerprints were found at the crime scene.","A) Sufficient — fingerprint evidence is conclusive proof
B) Insufficient — we only need a motive additionally
C) Sufficient — fingerprints are unique identifiers
D) Insufficient — fingerprints at the scene could have innocent explanations (visited earlier, lives/works there); need motive, timeline, additional evidence",D
ttm_overconfidence_0584,mc,"Is this person demonstrating appropriate confidence?

A CEO says: 'Our new product will capture 30% market share within 6 months — I'm absolutely certain.'","A) Appropriately confident — CEOs know their markets best
B) Impossible to assess without knowing the product
C) Underconfident if anything — ambitious targets drive success
D) Likely overconfident — market share predictions are inherently uncertain; 'absolutely certain' about a specific future outcome ignores competition, market dynamics, and execution risks",D
ttm_argument_strength_0395,mc,"Evaluate the strength of this argument:

Claim: Homework improves student learning.
Argument: A meta-analysis of 60 studies found a small positive effect for older students but no effect for elementary students.","A) Weak — the effect is too small to matter
B) Strong — 60 studies clearly prove homework helps
C) Very strong — meta-analyses are definitive
D) Moderate — supports the claim partially (for older students) but contradicts it for younger students; nuanced evidence",D
ttm_difficulty_0239,mc,"Consider two tasks:
Task A: Summarize a 3-sentence paragraph
Task B: Summarize a 500-page book preserving all key arguments

Which is more cognitively difficult, and why?","A) Both require the same summarization skill
B) The book is easier because it has repeated themes
C) Task B is harder — Book summarization requires hierarchical understanding across hundreds of pages
D) The paragraph is harder because every word matters more",C
ttm_calibration_0333,mc,"Someone claims: ""The tallest mountain on Earth is Mount Everest"" with 95% confidence.

Is their confidence level well-calibrated?","A) Miscalibrated — depends on whether you count underwater mountains
B) Underconfident — should be 100% since Everest is always listed
C) Overconfident — Mauna Kea is actually the tallest mountain
D) Well-calibrated — Everest is highest above sea level; slight uncertainty because Mauna Kea is taller base-to-peak and Chimborazo is farthest from Earth's center",D
ttm_analogy_quality_0685,mc,"How valid is this analogy?

""Teaching is like gardening — a teacher provides the conditions for growth but can't force a student to learn.""","A) Only valid for young children, not adult learners
B) Weak — students are nothing like plants
C) Reasonably strong analogy — captures the facilitative rather than deterministic role of teaching, though students have agency that plants do not
D) Perfect analogy — learning is exactly like biological growth",C
ttm_error_detection_0699,mc,"A student presents the following reasoning:

""Tigers are dangerous. This animal is dangerous. Therefore, this animal is a tiger.""

What is the primary logical error in this reasoning?","A) Undistributed middle — many dangerous animals exist besides tigers
B) The reasoning is valid because tigers are the most dangerous animal
C) The premises don't tell us enough about the animal to conclude
D) The logic would be valid if we added 'only tigers are dangerous'",A
ttm_knowledge_boundary_0066,mc,How confident should you be about knowing whether P equals NP in computer science?,"A) High — proven that P ≠ NP in 2020
B) Moderate — most evidence suggests P = NP
C) Unknown — one of the most famous unsolved problems in mathematics
D) Very high — P obviously does not equal NP based on practical experience",C
