id,question_type,question,choices,answer
ttm_calibration_0001,mc,"Someone claims: ""A specific coin flip will land heads"" with 50% confidence.

Is their confidence level well-calibrated?","A) Overconfident — true randomness means 0% confidence
B) Underconfident — physical analysis can improve beyond 50%
C) Miscalibrated — depends on how the coin was flipped
D) Well-calibrated — a fair coin has exactly 50% probability",D
ttm_calibration_0002,mc,"Someone claims: ""A randomly selected person is left-handed"" with 10% confidence.

Is their confidence level well-calibrated?","A) Cannot determine without demographic data
B) Overconfident — only about 1% are truly left-handed
C) Well-calibrated — approximately 10% of people are left-handed
D) Underconfident — actual rate is closer to 50%",C
ttm_calibration_0003,mc,"Someone claims: ""It will rain tomorrow in London"" with 70% confidence.

Based on current weather forecasts","A) Overconfident — weather is inherently unpredictable
B) Miscalibrated — should use a binary yes/no prediction
C) Underconfident — London rains more often than that
D) Reasonably calibrated — weather forecasts have known accuracy rates",D
ttm_calibration_0004,mc,"Someone claims: ""A specific coin flip will land heads"" with 50% confidence.

Is their confidence level well-calibrated?","A) Underconfident — physical analysis can improve beyond 50%
B) Overconfident — true randomness means 0% confidence
C) Well-calibrated — a fair coin has exactly 50% probability
D) Miscalibrated — depends on how the coin was flipped",C
ttm_calibration_0005,mc,"Someone claims: ""A randomly selected person is left-handed"" with 10% confidence.

Is their confidence level well-calibrated?","A) Underconfident — actual rate is closer to 50%
B) Overconfident — only about 1% are truly left-handed
C) Cannot determine without demographic data
D) Well-calibrated — approximately 10% of people are left-handed",D
ttm_calibration_0006,mc,"Someone claims: ""It will rain tomorrow in London"" with 70% confidence.

Based on current weather forecasts","A) Overconfident — weather is inherently unpredictable
B) Miscalibrated — should use a binary yes/no prediction
C) Underconfident — London rains more often than that
D) Reasonably calibrated — weather forecasts have known accuracy rates",D
ttm_calibration_0007,mc,"Someone claims: ""A specific coin flip will land heads"" with 50% confidence.

Is their confidence level well-calibrated?","A) Overconfident — true randomness means 0% confidence
B) Underconfident — physical analysis can improve beyond 50%
C) Well-calibrated — a fair coin has exactly 50% probability
D) Miscalibrated — depends on how the coin was flipped",C
ttm_calibration_0008,mc,"Someone claims: ""A randomly selected person is left-handed"" with 10% confidence.

Is their confidence level well-calibrated?","A) Underconfident — actual rate is closer to 50%
B) Cannot determine without demographic data
C) Well-calibrated — approximately 10% of people are left-handed
D) Overconfident — only about 1% are truly left-handed",C
ttm_calibration_0009,mc,"Someone claims: ""It will rain tomorrow in London"" with 70% confidence.

Based on current weather forecasts","A) Reasonably calibrated — weather forecasts have known accuracy rates
B) Underconfident — London rains more often than that
C) Overconfident — weather is inherently unpredictable
D) Miscalibrated — should use a binary yes/no prediction",A
ttm_calibration_0010,mc,"Someone claims: ""A specific coin flip will land heads"" with 50% confidence.

Is their confidence level well-calibrated?","A) Overconfident — true randomness means 0% confidence
B) Miscalibrated — depends on how the coin was flipped
C) Well-calibrated — a fair coin has exactly 50% probability
D) Underconfident — physical analysis can improve beyond 50%",C
