id,question_type,question,choices,answer
tefb_plan_0001,mc,"You need to arrange these items in a specific order: book, key, wallet, chair

Constraints:
- book must come before key
- wallet cannot be first

Which of the following is a valid arrangement?","A) chair, book, wallet, key
B) wallet, chair, key, book
C) wallet, book, key, chair
D) key, book, wallet, chair",C
tefb_plan_0002,mc,"You have a budget of $446 and need to purchase:
- Item C: $77
- Item F: $35
- Item I: $52

Can you afford all items, and if not, what's the shortfall?","A) No — you're $282 short
B) No — you miscalculated and think it costs more
C) It depends on available discounts
D) Yes — total cost is $164, which is within your $446 budget",D
tefb_plan_0003,mc,"Your journey has these segments:
1. walk for 12 minutes
2. bus for 29 minutes
3. walk for 11 minutes

What is the total travel time?","A) 47 minutes — missed one segment
B) 62 minutes — added buffer time
C) 52 minutes — 0 hours and 52 minutes
D) 67 minutes — double-counted transitions",C
tefb_plan_0004,mc,"You need to complete these tasks in order:
1. exercising (52 minutes)
2. showering (45 minutes)
3. watering plants (15 minutes)

If you start at 8:30 AM, what time will you finish?","A) 9:22 AM — miscalculated total time
B) 10:12 AM — subtracted time incorrectly
C) 10:22 AM — total time is 112 minutes
D) 10:37 AM — added 15 minutes for transitions",C
tefb_plan_0005,mc,"You need to arrange these items in a specific order: book, chair, cup, key

Constraints:
- book must come before chair
- cup cannot be first

Which of the following is a valid arrangement?","A) cup, book, chair, key
B) key, book, cup, chair
C) chair, book, cup, key
D) cup, key, chair, book",A
tefb_plan_0006,mc,"You have a budget of $122 and need to purchase:
- Item C: $49
- Item F: $37
- Item H: $30

Can you afford all items, and if not, what's the shortfall?","A) Yes — total cost is $116, which is within your $122 budget
B) No — you're $6 short
C) It depends on available discounts
D) No — you miscalculated and think it costs more",A
tefb_plan_0007,mc,"Your journey has these segments:
1. bus for 11 minutes
2. bus for 12 minutes
3. walk for 12 minutes

What is the total travel time?","A) 45 minutes — added buffer time
B) 50 minutes — double-counted transitions
C) 35 minutes — 0 hours and 35 minutes
D) 30 minutes — missed one segment",C
tefb_plan_0008,mc,"You need to complete these tasks in order:
1. reading (21 minutes)
2. commuting (28 minutes)
3. feeding pets (30 minutes)

If you start at 7:30 AM, what time will you finish?","A) 8:39 AM — subtracted time incorrectly
B) 8:04 AM — added 15 minutes for transitions
C) 8:49 AM — total time is 79 minutes
D) 7:49 AM — miscalculated total time",C
tefb_plan_0009,mc,"You need to arrange these items in a specific order: book, pen, phone, chair

Constraints:
- book must come before pen
- phone cannot be first

Which of the following is a valid arrangement?","A) phone, book, pen, chair
B) phone, chair, pen, book
C) pen, book, phone, chair
D) chair, book, phone, pen",A
tefb_plan_0010,mc,"You have a budget of $427 and need to purchase:
- Item C: $55
- Item D: $73
- Item H: $74

Can you afford all items, and if not, what's the shortfall?","A) No — you're $225 short
B) No — you miscalculated and think it costs more
C) It depends on available discounts
D) Yes — total cost is $202, which is within your $427 budget",D
