id,question_type,question,choices,answer
tscp_pragma2_0383,mc,"What is the speaker's intended meaning?

Utterance: 'Your secret is safe with me.'
Context: Said while winking at a third person who is also present.","A) An invitation for the third person to also keep the secret
B) A sincere promise of confidentiality reinforced by the wink
C) The wink contradicts the literal promise — the speaker is signaling to the third person that the secret will be shared
D) The wink is just a nervous habit",C
tscp_tom_0422,mc,"Sally puts a marble in a basket and leaves the room. While she is gone, Anne moves the marble to a box. When Sally returns, where will she look for the marble first?","A) She will ask Anne where it is first
B) She won't look because she forgot about the marble
C) The basket — Sally has a false belief about the marble's location since she didn't see Anne move it
D) The box — that's where the marble actually is",C
tscp_pragmatic_0090,mc,"What is the speaker's intended meaning?

Utterance: 'I couldn't help but notice your extensive contribution to today's meeting.'
Context: The person in question said nothing during the entire two-hour meeting.","A) The person contributed via chat messages
B) Sarcasm — pointing out the person's complete lack of participation by using exaggerated positive language
C) Recognition of non-verbal contributions like nodding
D) Genuine praise for quality listening",B
tscp_pragmatic_0472,mc,"What is the speaker's intended meaning?

Utterance: 'That's an... interesting outfit choice.'
Context: A colleague arrives wearing mismatched patterns and colors. Others exchange glances.","A) Polite deflection / indirect criticism — 'interesting' is used as a diplomatic way to avoid saying 'bad'
B) Genuine fascination with avant-garde fashion
C) The speaker wants to buy a similar outfit
D) A neutral compliment on originality",A
tscp_norms_0523,mc,"What social norm is at play in this situation?

A man sits with legs spread wide on a crowded subway, taking up two seats, while others stand.","A) Acceptable — everyone sits as they're comfortable
B) Fine if the person has a medical condition
C) Widely considered inconsiderate ('manspreading') — taking up more than one's share of public space when others are standing is a violation of shared space norms
D) Only inappropriate if someone directly asks for the seat",C
tscp_pragma2_0304,mc,"What is the speaker's intended meaning?

Utterance: 'That's one way to do it.'
Context: A senior engineer reviewing a junior's code that uses an extremely inefficient but technically functional approach.","A) Neutral observation that multiple approaches exist
B) Agreement that the approach is the correct one
C) Diplomatic criticism — implies it works but is not the right/good way; suggests there are much better approaches
D) Genuine praise for finding a creative alternative solution",C
tscp_norms_0110,mc,"What social norm is at play in this situation?

A person tips 5% at a sit-down restaurant in the United States after receiving standard service.","A) Appropriate — tipping depends entirely on food quality
B) Generous — anything above zero is optional
C) Considered very poor tipping — standard expectation in the US is 15-20% for table service
D) Standard — 5% is the typical American tip",C
tscp_tom2_0261,mc,"A teacher gives a test with a trick question where all answer choices are wrong. Students don't know this. After the test, students discuss answers. What belief difference exists?","A) The teacher expects some students to figure out the trick
B) Students believe one of their answers is correct. The teacher knows no student can have the right answer for that question.
C) Both parties have accurate beliefs about the question
D) Students also realize the trick after discussing answers",B
tscp_norms_0132,mc,"What social norm is at play in this situation?

A person loudly blows their nose at the dinner table in Japan.","A) Considered very rude in Japanese culture — one should excuse oneself and do this privately
B) Only inappropriate in formal restaurants
C) Acceptable if done quietly
D) Normal — nasal hygiene should be addressed immediately anywhere",A
tscp_tom2_0360,mc,Parent A tells their child 'We might go to Disneyland this summer.' Parent B (privately to A): 'We definitely can't afford it this year.' The child tells friends: 'I'm going to Disneyland!' What are the belief states?,"A) Parent A believes they'll find the money somehow
B) All three know the trip won't happen
C) The child is testing whether the parents will commit
D) Child believes the trip is happening (optimistic misinterpretation of 'might'). Parent A knows it's unlikely but hasn't corrected the child. Parent B knows it's impossible.",D
